,Fluxo de Caixa Diário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abr.-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONTAS,1-abr.-25,2-abr.-25,3-abr.-25,4-abr.-25,5-abr.-25,6-abr.-25,7-abr.-25,8-abr.-25,9-abr.-25,10-abr.-25,11-abr.-25,12-abr.-25,13-abr.-25,14-abr.-25,15-abr.-25,16-abr.-25,17-abr.-25,18-abr.-25,19-abr.-25,20-abr.-25,21-abr.-25,22-abr.-25,23-abr.-25,24-abr.-25,25-abr.-25,26-abr.-25,27-abr.-25,28-abr.-25,29-abr.-25,30-abr.-25,Total
,Receita,"0,00 ","0,00 ","500,00 ","5.494,50 ","0,00 ","0,00 ","0,00 ","1.700,00 ","162,44 ","37.000,00 ","2.900,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","32.511,00 ","300,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.824,20 ","84.392,14 "
,Vendas Cursos pelo o comercial,,,"500,00 ",,,,,"1.700,00 ","162,44 ",,,,,,,,,,,,,"4.656,00 ","300,00 ",,,,,,,"660,00 ","7.978,44 "
,Treinamentos B2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Treinamentos e consultorias B2B,,,,,,,,,,"37.000,00 ",,,,,,,,,,,,"27.855,00 ",,,,,,,,,"64.855,00 "
,Treinamentos e consultorias Contratos antigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Vendas B2C - Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Venda B2C - Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Marketing B2B para clientes,,,,"5.494,50 ",,,,,,,"2.900,00 ",,,,,,,,,,,,,,,,,,,"2.500,00 ","10.894,50 "
,Vendas de Ferramentas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Outras receitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"664,20 ","664,20 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Receita Financeira,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
,Rendimentos de Aplicações Financeiras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Juros e Descontos Obtidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Deduções,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
,Simples Nacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Parcelamento Simples ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Receita Líquida ,"0,00 ","0,00 ","500,00 ","5.494,50 ","0,00 ","0,00 ","0,00 ","1.700,00 ","162,44 ","37.000,00 ","2.900,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","32.511,00 ","300,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.824,20 ","84.392,14 "
,Custos,"18.900,08 ","1.242,43 ","3.440,79 ","0,00 ","0,00 ","0,00 ","51,00 ","1.574,67 ","1.259,48 ","193,00 ","2.382,56 ","0,00 ","0,00 ","800,00 ","0,00 ","2.006,18 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","16.777,00 ","1.398,22 ","321,46 ","2.623,00 ","0,00 ","0,00 ","0,00 ","2.519,65 ","3.216,04 ","58.705,56 "
,Custos com Mercadorias Vendidas,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
,Fornecedores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Compra de ferramentas para vendas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Custos com Serviços Prestados,"0,00 ","1.242,43 ","2.047,79 ","0,00 ","0,00 ","0,00 ","51,00 ","1.574,67 ","1.259,48 ","193,00 ","715,88 ","0,00 ","0,00 ","800,00 ","0,00 ","1.283,62 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","16.777,00 ","1.398,22 ","321,46 ","70,00 ","0,00 ","0,00 ","0,00 ","2.519,65 ","3.216,04 ","33.470,24 "
,Alimentação prestação de serviços,,"145,82 ","145,70 ",,,,"51,00 ",,,,,,,,,"181,60 ",,,,,,,"197,91 ",,,,,,"1.019,11 ","60,00 ","1.801,14 "
,Locação de veículos,,"475,96 ","148,53 ",,,,,,"20,08 ","25,00 ","77,32 ",,,,,"1.102,02 ",,,,,,,"200,31 ","117,46 ",,,,,"285,18 ","597,52 ","3.049,38 "
,Materiais para treinamentos,,"74,93 ",,,,,,"1.201,93 ","39,40 ",,,,,,,,,,,,,,,"204,00 ","70,00 ",,,,,"92,30 ","1.682,56 "
,Serviços de Terceiros,,,,,,,,,,,,,,,,,,,,,,"15.852,00 ",,,,,,,,,"15.852,00 "
,Hotel prestação de serviços,,,"982,00 ",,,,,,,"168,00 ","229,00 ",,,,,,,,,,,"925,00 ",,,,,,,,"1.108,00 ","3.412,00 "
,Passagem aérea,,"545,72 ","620,78 ",,,,,,,,,,,,,,,,,,,,,,,,,,"1.215,36 ","1.276,12 ","3.657,98 "
,Comissão parceiros ,,,,,,,,,"1.200,00 ",,,,,,,,,,,,,,"1.000,00 ",,,,,,,,"2.200,00 "
,Comissão Junior,,,,,,,,"372,74 ",,,,,,,,,,,,,,,,,,,,,,,"372,74 "
,Comissão Otávio,,,"150,78 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,"150,78 "
,Comissão lançamento de marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Comissão Closer,,,,,,,,,,,"409,56 ",,,,,,,,,,,,,,,,,,,,"409,56 "
,Comissão SDR,,,,,,,,,,,,,,"800,00 ",,,,,,,,,,,,,,,,,"800,00 "
,Comissão parceiros - Rolamentos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Outros custos de serviços prestados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,10 ","82,10 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Custos com Mão de Obra ,"18.900,08 ","0,00 ","1.393,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.666,68 ","0,00 ","0,00 ","0,00 ","0,00 ","722,56 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.553,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","25.235,32 "
,Salário,"8.100,08 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.100,08 "
,Pró-Labore,"10.800,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.800,00 "
,Décimo terceiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Férias,,,,,,,,,,,"1.666,68 ",,,,,,,,,,,,,,,,,,,,"1.666,68 "
,Rescisão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,INSS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,FGTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,IRPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Alimentação Escritório,,,"1.393,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.393,00 "
,Vale transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Treinamento e Desenvolvimento,,,,,,,,,,,,,,,,"722,56 ",,,,,,,,,"2.553,00 ",,,,,,"3.275,56 "
,Outras Custos com Mão de Obra Direta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Lucro Bruto,"-18.900,08 ","-1.242,43 ","-2.940,79 ","5.494,50 ","0,00 ","0,00 ","-51,00 ","125,33 ","-1.097,04 ","36.807,00 ","517,44 ","0,00 ","0,00 ","-800,00 ","0,00 ","-2.006,18 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","15.734,00 ","-1.098,22 ","-321,46 ","-2.623,00 ","0,00 ","0,00 ","0,00 ","-2.519,65 ","608,16 ","25.686,58 "
,Despesas Operacionais,"25.556,59 ","622,16 ","1.680,29 ","90,00 ","0,00 ","0,00 ","149,06 ","1.830,00 ","0,00 ","328,14 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.029,54 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.059,86 ","482,19 ","88,71 ","1.937,74 ","0,00 ","0,00 ","0,00 ","589,06 ","3.672,89 ","43.116,23 "
,Despesas Administrativas,"0,00 ","0,00 ","704,19 ","0,00 ","0,00 ","0,00 ","0,00 ","1.830,00 ","0,00 ","253,89 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.309,80 ","0,00 ","88,71 ","1.937,74 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.124,33 "
,Telefone e Internet ,,,"315,73 ",,,,,,,,,,,,,,,,,,,"139,90 ",,,,,,,,,"455,63 "
,Celular-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Energia Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Aluguel e Condomínio,,,,,,,,,,,,,,,,,,,,,,,,,"1.877,74 ",,,,,,"1.877,74 "
,Água,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,IPTU e Taxas Públicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Despesas de Viagens-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Contabilidade,,,,,,,,,,,,,,,,,,,,,,"319,59 ",,,,,,,,,"319,59 "
,Licenças de softwares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Consultoria Financeira,,,,,,,,"1.200,00 ",,,,,,,,,,,,,,,,,,,,,,,"1.200,00 "
,Serviços de terceiros-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Manutenção escritório,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Manutenção Máquinas e Equipamentos-ADM,,,,,,,,"130,00 ",,,,,,,,,,,,,,,,,,,,,,,"130,00 "
,Materiais de Expediente/Escritório,,,"388,46 ",,,,,,,,,,,,,,,,,,,"42,74 ",,,"60,00 ",,,,,,"491,20 "
,Faxina do escritório,,,,,,,,"500,00 ",,,,,,,,,,,,,,,,,,,,,,,"500,00 "
,Seguros,,,,,,,,,,"253,89 ",,,,,,,,,,,,,,"88,71 ",,,,,,,"342,60 "
,Gasolina / Combustível-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Estacionamento / Pedágios-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Reembolso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Sistemas ADM,,,,,,,,,,,,,,,,,,,,,,"807,57 ",,,,,,,,,"807,57 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Despesas com Pessoal,"25.436,59 ","0,00 ","0,00 ","90,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.750,06 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","328,55 ","3.200,00 ","30.805,20 "
,Salário-ADM,"9.236,59 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.236,59 "
,Pró-Labore-ADM,"16.200,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.200,00 "
,Décimo terceiro-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Férias-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Rescisão-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,INSS-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,IRRF-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,FGTS-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Vale transporte-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Vale Alimentação-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.200,00 ","3.200,00 "
,Convênio Medico-ADM,,,,,,,,,,,,,,,,,,,,,,"1.750,06 ",,,,,,,,,"1.750,06 "
,Exames ocupacionais-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Treinamento e Desenvolvimento-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Confraternização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"328,55 ",,"328,55 "
,Consultoria de Recursos Humanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Uniformes e EPIs,,,,"90,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,"90,00 "
,Despesas Comerciais,"120,00 ","320,44 ","494,07 ","0,00 ","0,00 ","0,00 ","149,06 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","495,40 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","482,19 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","250,14 ","71,26 ","2.382,56 "
