,Previsão de Fluxo de Caixa,,,,,,,,,,,,,,,
, Ano do Fluxo:,01/01/2025,01/02/2025,01/03/2025,01/04/2025,01/05/2025,01/06/2025,01/07/2025,01/08/2025,01/09/2025,01/10/2025,01/11/2025,01/12/2025,,,
,2025,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,Total Ano,,
,, Previsto, Previsto, Previsto, Previsto, Previsto, Previsto, Previsto, Previsto, Previsto, Previsto, Previsto, Previsto, Total Previsto,,
, Receita,"61.994,00 ","145.688,00 ","238.088,00 ","246.338,00 ","341.588,00 ","336.588,00 ","309.088,00 ","374.088,00 ","255.688,00 ","285.688,00 ","305.272,00 ","222.888,00 ","3.122.996,00 ",,
,Vendas Cursos pelo o comercial,,,,,,,,,,,,,"0,00 ",,
,Treinamentos B2B,,,,,,,,,,,,,"0,00 ",,
,Treinamentos e consultorias B2B,"54.000,00 ","67.000,00 ","90.000,00 ","93.750,00 ","154.000,00 ","154.000,00 ","154.000,00 ","154.000,00 ","154.000,00 ","154.000,00 ","154.000,00 ","117.000,00 ","1.499.750,00 ",,
,Treinamentos e consultorias Contratos antigos,,"60.694,00 ","137.594,00 ","140.094,00 ","165.094,00 ","170.094,00 ","142.594,00 ","197.594,00 ","89.194,00 ","119.194,00 ","118.778,00 ","93.394,00 ","1.434.318,00 ",,
,Vendas B2C - Marketing,,,,,,,,,,,,,"0,00 ",,
,Venda B2C - Comercial,,"10.000,00 ",,,"10.000,00 ",,,"10.000,00 ",,,"20.000,00 ",,"50.000,00 ",,
,Marketing B2B para clientes,"7.994,00 ","7.994,00 ","10.494,00 ","12.494,00 ","12.494,00 ","12.494,00 ","12.494,00 ","12.494,00 ","12.494,00 ","12.494,00 ","12.494,00 ","12.494,00 ","138.928,00 ",,
,Vendas de Ferramentas,,,,,,,,,,,,,"0,00 ",,
,Outras receitas,,,,,,,,,,,,,"0,00 ",,
,,,,,,,,,,,,,,"0,00 ",,
,,,,,,,,,,,,,,"0,00 ",,
,,,,,,,,,,,,,,"0,00 ",,
,,,,,,,,,,,,,,"0,00 ",,
,,,,,,,,,,,,,,"0,00 ",,
, Receita Financeira,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ",,
,Rendimentos de Aplicações Financeiras,,,,,,,,,,,,,"0,00 ",,
,Juros e Descontos Obtidos,,,,,,,,,,,,,"0,00 ",,
,,,,,,,,,,,,,,"0,00 ",,
,,,,,,,,,,,,,,"0,00 ",,
,,,,,,,,,,,,,,"0,00 ",,
, Deduções,"33.125,00 ","19.616,04 ","36.240,00 ","37.440,00 ","47.040,00 ","49.440,00 ","43.440,00 ","52.240,00 ","36.406,00 ","39.696,00 ","30.128,00 ","30.128,00 ","454.939,04 ",,"14,57%"
,Simples Nacional,"32.500,00 ","18.991,04 ","35.615,00 ","36.815,00 ","46.415,00 ","48.815,00 ","42.815,00 ","51.615,00 ","35.781,00 ","39.071,00 ","29.503,00 ","29.503,00 ","447.439,04 ",,
,Parcelamento Simples ,"625,00 ","625,00 ","625,00 ","625,00 ","625,00 ","625,00 ","625,00 ","625,00 ","625,00 ","625,00 ","625,00 ","625,00 ","7.500,00 ",,
,,,,,,,,,,,,,,"0,00 ",,
,,,,,,,,,,,,,,"0,00 ",,
,,,,,,,,,,,,,,"0,00 ",,
,,,,,,,,,,,,,,"0,00 ",,
,,,,,,,,,,,,,,"0,00 ",,
,,,,,,,,,,,,,,"0,00 ",,
, Receita Líquida ,"28.869,00 ","126.071,96 ","201.848,00 ","208.898,00 ","294.548,00 ","287.148,00 ","265.648,00 ","321.848,00 ","219.282,00 ","245.992,00 ","275.144,00 ","192.760,00 ","2.668.056,96 ",,
, Custos,"58.682,13 ","111.803,36 ","116.701,40 ","135.764,05 ","139.582,20 ","133.036,79 ","139.703,46 ","129.777,40 ","130.110,51 ","110.951,20 ","106.467,10 ","82.345,74 ","1.394.925,34 ",,"44,67%"
,Custos com Mercadorias Vendidas,"27.478,05 ","80.599,28 ","80.715,40 ","98.078,05 ","101.896,20 ","95.350,79 ","102.017,46 ","92.091,40 ","92.424,51 ","73.265,20 ","56.581,10 ","32.459,74 ","932.957,18 ",,
,Fornecedores,,,,,,,,,,,,,"0,00 ",,
,Compra de ferramentas para vendas,,,,,,,,,,,,,"0,00 ",,
,,,,,,,,,,,,,,"0,00 ",,
,Custos com Serviços Prestados,"17.995,49 ","49.219,44 ","48.277,50 ","59.675,49 ","63.084,55 ","57.561,86 ","62.728,53 ","55.485,50 ","55.318,72 ","43.745,70 ","36.170,35 ","19.876,27 ","569.139,40 ",,
,Alimentação prestação de serviços,"1.200,00 ","1.800,00 ","1.800,00 ","1.800,00 ","1.800,00 ","1.800,00 ","1.800,00 ","1.800,00 ","1.800,00 ","1.800,00 ","1.200,00 ","1.200,00 ","19.800,00 ",,
,Locação de veículos,"2.400,00 ","7.200,00 ","8.400,00 ","8.400,00 ","8.400,00 ","8.400,00 ","8.400,00 ","8.400,00 ","8.400,00 ","6.000,00 ","6.000,00 ","3.600,00 ","84.000,00 ",,
,Materiais para treinamentos,"2.400,00 ","8.400,00 ","8.400,00 ","12.000,00 ","12.000,00 ","12.000,00 ","12.000,00 ","12.000,00 ","12.000,00 ","8.400,00 ","8.400,00 ","4.800,00 ","112.800,00 ",,
